Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
Afghanistan,AFG,1960.0,5.37777811111111e8,,,7.02479336623182,4.13223321494422,8.996351e6
Afghanistan,AFG,1961.0,5.48888895555556e8,,,8.09716629841498,4.45344326574765,9.166764e6
Afghanistan,AFG,1962.0,5.46666677777778e8,,,9.34959330590257,4.87805112036481,9.345868e6
Afghanistan,AFG,1963.0,7.51111191111111e8,,,16.8639103340214,9.171601094149,9.533954e6
Afghanistan,AFG,1964.0,8.00000044444444e8,,,18.0555553858025,8.88889256172819,9.731361e6
Afghanistan,AFG,1965.0,1.00666663777778e9,,,21.4128034842526,11.2582791310323,9.938414e6
Afghanistan,AFG,1966.0,1.39999996666667e9,,,18.571428537415,8.57142877551021,1.0152331e7
Afghanistan,AFG,1967.0,1.67333341777778e9,,,14.2098270385479,6.77290842314672,1.037263e7
Afghanistan,AFG,1968.0,1.37333336666667e9,,,15.2103564269331,8.89967664482985,1.0604346e7
Afghanistan,AFG,1969.0,1.40888892222222e9,,,14.9842272480072,10.0946369851427,1.0854428e7
Afghanistan,AFG,1970.0,1.74888659555556e9,,,11.9441077843955,9.78400228346932,1.1126123e7
Afghanistan,AFG,1971.0,1.83110897111111e9,,,16.1407951985264,10.922342255116,1.1417825e7
Afghanistan,AFG,1972.0,1.59555547555556e9,,,18.1058497936081,14.7632312416105,1.172194e7
Afghanistan,AFG,1973.0,1.73333326444444e9,,,14.7435907141683,12.9487180787311,1.2027822e7
Afghanistan,AFG,1974.0,2.15555549777778e9,,,14.8453612226592,14.0206189325114,1.2321541e7
Afghanistan,AFG,1975.0,2.36666661555556e9,,,14.2723007777117,12.6760568934735,1.2590286e7
Afghanistan,AFG,1976.0,2.55555556666667e9,,,14.8695654136106,13.2173912468809,1.2840299e7
Afghanistan,AFG,1977.0,2.95333341777778e9,,,14.8231754979077,11.6629043316852,1.3067538e7
Afghanistan,AFG,1978.0,3.30000010888889e9,,,13.8720537510231,10.8417502819894,1.3237734e7
Afghanistan,AFG,1979.0,3.69794040961098e9,,,,,1.3306695e7
Afghanistan,AFG,1980.0,3.64172332199546e9,,,,,1.324837e7
Afghanistan,AFG,1981.0,3.47878790909091e9,,,,,1.3053954e7
